source,date,mmdd,month,day,weekday,value,abundance,description
311_dhs,2024-01-01,01-01,January,1,Monday,35.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,2024-01-01,01-01,January,1,Monday,7957.0,Very Low,Number of NYC Ferry boardings
dog_bites,2024-01-01,01-01,January,1,Monday,13.0,High,Number of dog bite incidents reported to DOHMH
watershed_wq_total_plankton,2024-01-01,01-01,January,1,Monday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
311_street_condition,2024-01-01,01-01,January,1,Monday,67.0,Very Low,Number of street condition complaints to 311
watershed_wq_dissolved_oxygen,2024-01-01,01-01,January,1,Monday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-01,01-01,January,1,Monday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
arrests,2024-01-01,01-01,January,1,Monday,466.0,Very Low,Number of NYPD arrests
311_unsanitary,2024-01-01,01-01,January,1,Monday,162.0,Very Low,Number of unsanitary condition complaints to 311
311_heat_hotwater,2024-01-01,01-01,January,1,Monday,850.0,High,Number of heat and hot water complaints to 311
watershed_wq_turbidity,2024-01-01,01-01,January,1,Monday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_noise_street,2024-01-01,01-01,January,1,Monday,294.0,Medium,Number of street and sidewalk noise complaints to 311
watershed_wq_temperature,2024-01-01,01-01,January,1,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_ph,2024-01-01,01-01,January,1,Monday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-01,01-01,January,1,Monday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-01,01-01,January,1,Monday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
arrests,2024-01-02,01-02,January,2,Tuesday,643.0,Low,Number of NYPD arrests
watershed_wq_total_phosphorus,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-02,01-02,January,2,Tuesday,383.0,High,Number of unsanitary condition complaints to 311
watershed_wq_dissolved_oxygen,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
311_street_condition,2024-01-02,01-02,January,2,Tuesday,198.0,Medium,Number of street condition complaints to 311
watershed_wq_ph,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-02,01-02,January,2,Tuesday,1496.0,Very High,Number of heat and hot water complaints to 311
ferry_ridership,2024-01-02,01-02,January,2,Tuesday,14162.0,Low,Number of NYC Ferry boardings
watershed_wq_total_plankton,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
dog_bites,2024-01-02,01-02,January,2,Tuesday,14.0,High,Number of dog bite incidents reported to DOHMH
311_noise_street,2024-01-02,01-02,January,2,Tuesday,86.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_total_nitrogen,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
311_dhs,2024-01-02,01-02,January,2,Tuesday,87.0,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
watershed_wq_turbidity,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-02,01-02,January,2,Tuesday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_dhs,2024-01-03,01-03,January,3,Wednesday,77.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,2024-01-03,01-03,January,3,Wednesday,14444.0,Low,Number of NYC Ferry boardings
311_street_condition,2024-01-03,01-03,January,3,Wednesday,200.0,Medium,Number of street condition complaints to 311
dog_bites,2024-01-03,01-03,January,3,Wednesday,12.0,Medium,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,2024-01-03,01-03,January,3,Wednesday,1327.0,Very High,Number of heat and hot water complaints to 311
watershed_wq_dissolved_oxygen,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-03,01-03,January,3,Wednesday,426.0,High,Number of unsanitary condition complaints to 311
watershed_wq_total_nitrogen,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_noise_street,2024-01-03,01-03,January,3,Wednesday,90.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_ph,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
arrests,2024-01-03,01-03,January,3,Wednesday,826.0,High,Number of NYPD arrests
watershed_wq_turbidity,2024-01-03,01-03,January,3,Wednesday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
watershed_wq_total_phosphorus,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
311_noise_street,2024-01-04,01-04,January,4,Thursday,121.0,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_total_nitrogen,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-04,01-04,January,4,Thursday,13152.0,Low,Number of NYC Ferry boardings
watershed_wq_ph,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_street_condition,2024-01-04,01-04,January,4,Thursday,210.0,Medium,Number of street condition complaints to 311
watershed_wq_total_plankton,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
311_heat_hotwater,2024-01-04,01-04,January,4,Thursday,1495.0,Very High,Number of heat and hot water complaints to 311
watershed_wq_dissolved_oxygen,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_turbidity,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_fecal_coliform,2024-01-04,01-04,January,4,Thursday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
311_dhs,2024-01-04,01-04,January,4,Thursday,87.0,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,2024-01-04,01-04,January,4,Thursday,458.0,Very High,Number of unsanitary condition complaints to 311
arrests,2024-01-04,01-04,January,4,Thursday,872.0,Very High,Number of NYPD arrests
dog_bites,2024-01-04,01-04,January,4,Thursday,9.0,Low,Number of dog bite incidents reported to DOHMH
311_noise_street,2024-01-05,01-05,January,5,Friday,110.0,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,2024-01-05,01-05,January,5,Friday,367.0,Medium,Number of unsanitary condition complaints to 311
watershed_wq_fecal_coliform,2024-01-05,01-05,January,5,Friday,,No Data,Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs
watershed_wq_dissolved_oxygen,2024-01-05,01-05,January,5,Friday,,No Data,Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs
watershed_wq_ph,2024-01-05,01-05,January,5,Friday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_street_condition,2024-01-05,01-05,January,5,Friday,146.0,Low,Number of street condition complaints to 311
watershed_wq_turbidity,2024-01-05,01-05,January,5,Friday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
watershed_wq_total_plankton,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs
watershed_wq_temperature,2024-01-05,01-05,January,5,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
watershed_wq_total_nitrogen,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs
ferry_ridership,2024-01-05,01-05,January,5,Friday,11366.0,Very Low,Number of NYC Ferry boardings
arrests,2024-01-05,01-05,January,5,Friday,670.0,Medium,Number of NYPD arrests
311_dhs,2024-01-05,01-05,January,5,Friday,69.0,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,2024-01-05,01-05,January,5,Friday,1934.0,Very High,Number of heat and hot water complaints to 311
watershed_wq_total_phosphorus,2024-01-05,01-05,January,5,Friday,,No Data,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs
dog_bites,2024-01-05,01-05,January,5,Friday,3.0,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,2024-01-06,01-06,January,6,Saturday,6286.0,Very Low,Number of NYC Ferry boardings
watershed_wq_ph,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median pH (SU) across NYC DEP watershed reservoirs
311_unsanitary,2024-01-06,01-06,January,6,Saturday,204.0,Low,Number of unsanitary condition complaints to 311
watershed_wq_turbidity,2024-01-06,01-06,January,6,Saturday,,No Data,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
arrests,2024-01-06,01-06,January,6,Saturday,502.0,Very Low,Number of NYPD arrests
311_heat_hotwater,2024-01-06,01-06,January,6,Saturday,1638.0,Very High,Number of heat and hot water complaints to 311
