date,mmdd,month,day,weekday,count,abundance,description
2024-01-01,01-01,January,1,Monday,7957,Very Low,Number of NYC Ferry boardings
2024-01-02,01-02,January,2,Tuesday,14162,Low,Number of NYC Ferry boardings
2024-01-03,01-03,January,3,Wednesday,14444,Low,Number of NYC Ferry boardings
2024-01-04,01-04,January,4,Thursday,13152,Low,Number of NYC Ferry boardings
2024-01-05,01-05,January,5,Friday,11366,Very Low,Number of NYC Ferry boardings
2024-01-06,01-06,January,6,Saturday,6286,Very Low,Number of NYC Ferry boardings
2024-01-07,01-07,January,7,Sunday,3930,Very Low,Number of NYC Ferry boardings
2024-01-08,01-08,January,8,Monday,12013,Very Low,Number of NYC Ferry boardings
2024-01-09,01-09,January,9,Tuesday,9539,Very Low,Number of NYC Ferry boardings
2024-01-10,01-10,January,10,Wednesday,11504,Very Low,Number of NYC Ferry boardings
2024-01-11,01-11,January,11,Thursday,13574,Low,Number of NYC Ferry boardings
2024-01-12,01-12,January,12,Friday,11433,Very Low,Number of NYC Ferry boardings
2024-01-13,01-13,January,13,Saturday,9161,Very Low,Number of NYC Ferry boardings
2024-01-14,01-14,January,14,Sunday,6585,Very Low,Number of NYC Ferry boardings
2024-01-15,01-15,January,15,Monday,4916,Very Low,Number of NYC Ferry boardings
2024-01-16,01-16,January,16,Tuesday,8870,Very Low,Number of NYC Ferry boardings
2024-01-17,01-17,January,17,Wednesday,10680,Very Low,Number of NYC Ferry boardings
2024-01-18,01-18,January,18,Thursday,11046,Very Low,Number of NYC Ferry boardings
2024-01-19,01-19,January,19,Friday,7597,Very Low,Number of NYC Ferry boardings
2024-01-20,01-20,January,20,Saturday,5277,Very Low,Number of NYC Ferry boardings
2024-01-21,01-21,January,21,Sunday,4739,Very Low,Number of NYC Ferry boardings
2024-01-22,01-22,January,22,Monday,10361,Very Low,Number of NYC Ferry boardings
2024-01-23,01-23,January,23,Tuesday,12117,Very Low,Number of NYC Ferry boardings
2024-01-24,01-24,January,24,Wednesday,11035,Very Low,Number of NYC Ferry boardings
2024-01-25,01-25,January,25,Thursday,11939,Very Low,Number of NYC Ferry boardings
2024-01-26,01-26,January,26,Friday,10500,Very Low,Number of NYC Ferry boardings
2024-01-27,01-27,January,27,Saturday,10070,Very Low,Number of NYC Ferry boardings
2024-01-28,01-28,January,28,Sunday,3703,Very Low,Number of NYC Ferry boardings
2024-01-29,01-29,January,29,Monday,10822,Very Low,Number of NYC Ferry boardings
2024-01-30,01-30,January,30,Tuesday,12768,Low,Number of NYC Ferry boardings
2024-01-31,01-31,January,31,Wednesday,12710,Low,Number of NYC Ferry boardings
2024-02-01,02-01,February,1,Thursday,12657,Low,Number of NYC Ferry boardings
2024-02-02,02-02,February,2,Friday,9819,Very Low,Number of NYC Ferry boardings
2024-02-03,02-03,February,3,Saturday,11069,Very Low,Number of NYC Ferry boardings
2024-02-04,02-04,February,4,Sunday,9209,Very Low,Number of NYC Ferry boardings
2024-02-05,02-05,February,5,Monday,11585,Very Low,Number of NYC Ferry boardings
2024-02-06,02-06,February,6,Tuesday,13720,Low,Number of NYC Ferry boardings
2024-02-07,02-07,February,7,Wednesday,13902,Low,Number of NYC Ferry boardings
2024-02-08,02-08,February,8,Thursday,13866,Low,Number of NYC Ferry boardings
2024-02-09,02-09,February,9,Friday,12746,Low,Number of NYC Ferry boardings
2024-02-10,02-10,February,10,Saturday,13315,Low,Number of NYC Ferry boardings
2024-02-11,02-11,February,11,Sunday,8222,Very Low,Number of NYC Ferry boardings
2024-02-12,02-12,February,12,Monday,12196,Low,Number of NYC Ferry boardings
2024-02-13,02-13,February,13,Tuesday,5158,Very Low,Number of NYC Ferry boardings
2024-02-14,02-14,February,14,Wednesday,12965,Low,Number of NYC Ferry boardings
2024-02-15,02-15,February,15,Thursday,12812,Low,Number of NYC Ferry boardings
2024-02-16,02-16,February,16,Friday,11276,Very Low,Number of NYC Ferry boardings
2024-02-17,02-17,February,17,Saturday,6536,Very Low,Number of NYC Ferry boardings
2024-02-18,02-18,February,18,Sunday,8696,Very Low,Number of NYC Ferry boardings
2024-02-19,02-19,February,19,Monday,8704,Very Low,Number of NYC Ferry boardings
2024-02-20,02-20,February,20,Tuesday,12848,Low,Number of NYC Ferry boardings
2024-02-21,02-21,February,21,Wednesday,13011,Low,Number of NYC Ferry boardings
2024-02-22,02-22,February,22,Thursday,12826,Low,Number of NYC Ferry boardings
2024-02-23,02-23,February,23,Friday,10277,Very Low,Number of NYC Ferry boardings
2024-02-24,02-24,February,24,Saturday,11221,Very Low,Number of NYC Ferry boardings
2024-02-25,02-25,February,25,Sunday,8270,Very Low,Number of NYC Ferry boardings
2024-02-26,02-26,February,26,Monday,11699,Very Low,Number of NYC Ferry boardings
2024-02-27,02-27,February,27,Tuesday,13625,Low,Number of NYC Ferry boardings
2024-02-28,02-28,February,28,Wednesday,12073,Very Low,Number of NYC Ferry boardings
2024-02-29,02-29,February,29,Thursday,12691,Low,Number of NYC Ferry boardings
2024-03-01,03-01,March,1,Friday,12363,Low,Number of NYC Ferry boardings
2024-03-02,03-02,March,2,Saturday,3771,Very Low,Number of NYC Ferry boardings
2024-03-03,03-03,March,3,Sunday,20253,Medium,Number of NYC Ferry boardings
2024-03-04,03-04,March,4,Monday,13707,Low,Number of NYC Ferry boardings
2024-03-05,03-05,March,5,Tuesday,11254,Very Low,Number of NYC Ferry boardings
2024-03-06,03-06,March,6,Wednesday,11668,Very Low,Number of NYC Ferry boardings
2024-03-07,03-07,March,7,Thursday,13875,Low,Number of NYC Ferry boardings
2024-03-08,03-08,March,8,Friday,15965,Low,Number of NYC Ferry boardings
2024-03-09,03-09,March,9,Saturday,6487,Very Low,Number of NYC Ferry boardings
2024-03-10,03-10,March,10,Sunday,9056,Very Low,Number of NYC Ferry boardings
2024-03-11,03-11,March,11,Monday,10283,Very Low,Number of NYC Ferry boardings
2024-03-12,03-12,March,12,Tuesday,18552,Medium,Number of NYC Ferry boardings
2024-03-13,03-13,March,13,Wednesday,17546,Medium,Number of NYC Ferry boardings
2024-03-14,03-14,March,14,Thursday,20449,Medium,Number of NYC Ferry boardings
2024-03-15,03-15,March,15,Friday,16200,Low,Number of NYC Ferry boardings
2024-03-16,03-16,March,16,Saturday,19557,Medium,Number of NYC Ferry boardings
2024-03-17,03-17,March,17,Sunday,16054,Low,Number of NYC Ferry boardings
2024-03-18,03-18,March,18,Monday,13363,Low,Number of NYC Ferry boardings
2024-03-19,03-19,March,19,Tuesday,14133,Low,Number of NYC Ferry boardings
2024-03-20,03-20,March,20,Wednesday,14135,Low,Number of NYC Ferry boardings
2024-03-21,03-21,March,21,Thursday,13309,Low,Number of NYC Ferry boardings
2024-03-22,03-22,March,22,Friday,12479,Low,Number of NYC Ferry boardings
2024-03-23,03-23,March,23,Saturday,2860,Very Low,Number of NYC Ferry boardings
2024-03-24,03-24,March,24,Sunday,12981,Low,Number of NYC Ferry boardings
2024-03-25,03-25,March,25,Monday,15846,Low,Number of NYC Ferry boardings
2024-03-26,03-26,March,26,Tuesday,16496,Medium,Number of NYC Ferry boardings
2024-03-27,03-27,March,27,Wednesday,15572,Low,Number of NYC Ferry boardings
2024-03-28,03-28,March,28,Thursday,11352,Very Low,Number of NYC Ferry boardings
2024-03-29,03-29,March,29,Friday,19227,Medium,Number of NYC Ferry boardings
2024-03-30,03-30,March,30,Saturday,29558,Very High,Number of NYC Ferry boardings
2024-03-31,03-31,March,31,Sunday,22277,High,Number of NYC Ferry boardings
2024-04-01,04-01,April,1,Monday,12955,Low,Number of NYC Ferry boardings
2024-04-02,04-02,April,2,Tuesday,11492,Very Low,Number of NYC Ferry boardings
2024-04-03,04-03,April,3,Wednesday,8701,Very Low,Number of NYC Ferry boardings
2024-04-04,04-04,April,4,Thursday,15109,Low,Number of NYC Ferry boardings
2024-04-05,04-05,April,5,Friday,13523,Low,Number of NYC Ferry boardings
2024-04-06,04-06,April,6,Saturday,19750,Medium,Number of NYC Ferry boardings
2024-04-07,04-07,April,7,Sunday,19550,Medium,Number of NYC Ferry boardings
2024-04-08,04-08,April,8,Monday,15373,Low,Number of NYC Ferry boardings
2024-04-09,04-09,April,9,Tuesday,21978,High,Number of NYC Ferry boardings
2024-04-10,04-10,April,10,Wednesday,17909,Medium,Number of NYC Ferry boardings
2024-04-11,04-11,April,11,Thursday,13882,Low,Number of NYC Ferry boardings
2024-04-12,04-12,April,12,Friday,12219,Low,Number of NYC Ferry boardings
2024-04-13,04-13,April,13,Saturday,13174,Low,Number of NYC Ferry boardings
2024-04-14,04-14,April,14,Sunday,25417,High,Number of NYC Ferry boardings
2024-04-15,04-15,April,15,Monday,21182,Medium,Number of NYC Ferry boardings
2024-04-16,04-16,April,16,Tuesday,22096,High,Number of NYC Ferry boardings
