mmdd,prophecy,data_notes,style
01-01,"On this day, the biting is purposeful and somehow the grime has retreated to consider its options. You have been warned.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
01-01,The day carries a bite in it even as the city will present a cleaner face to the world. Let this be known.,"• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
01-02,Mark it: heat makes demands without asking yet the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-02,The walls shall cry out for warmth even as the streets shall offer silence as a gift. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-03,Be advised: the walls boil with something to say while the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-03,The walls shall cry out for warmth and still the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-04,Be advised: something accumulates in corners without shame and somehow the city bites its tongue. Plan around it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-04,What has been neglected shall make itself known yet the city will hold its breath. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-05,Know this: the pipes have opinions and they will not be silenced meanwhile the ferries idle with dignity. Take note.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
01-05,"Before it ends, heat will be demanded and denied in equal measure even as the animals will watch from a careful distance.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
01-06,Be advised: the walls boil with something to say elsewhere the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-06,The cold within will not be suffered in silence as the roads shall carry all things without complaint. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
01-07,Mark it: the radiators are furious and somehow the bureaucracy rests.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-07,"On this day, heat will be demanded and denied in equal measure and yet what gathers in shadows shall remain there today. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
01-08,Heat makes demands without asking and yet noise takes a personal day.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-08,The cold within will not be suffered in silence yet a rare quiet shall settle over the pavement.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-09,Know this: warmth is not given freely though noise takes a personal day. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-09,"In the hours ahead, warmth will be sought across many thresholds even as a rare quiet shall settle over the pavement. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-10,"On this day, dogs make their feelings known physically meanwhile the bureaucracy rests. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-10,"On this day, the city will wear its wounds openly yet the water will be asked to carry very little.","• Number of unsanitary condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
01-11,"On this day, someone is definitely getting caught at the same time the shelter system breathes easy, briefly. Plan around it.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-11,Reckoning shall find those it seeks even as the beasts of the city shall stay their hand. Take shelter or take heed.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
01-12,Be advised: warmth is not given freely at the same time the ferries idle with dignity.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",irreverent
01-12,Warmth will be sought across many thresholds even as the boats shall cross nearly empty.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",poetic
01-13,"On this day, the radiators groan their usual complaints and somehow the streets are in suspiciously good condition. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",irreverent
01-13,"On this day, the cold shall press inward and be answered though the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",poetic
01-14,"The walls boil with something to say while the roads are, uncharacteristically, fine. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
01-14,The cold within will not be suffered in silence as the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
01-15,"Today, the walls boil with something to say and yet an unusual quiet descends on the streets. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-15,"The cold within will not be suffered in silence while need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
01-16,"On this day, the walls boil with something to say at the same time the ferries idle with dignity.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
01-16,"Before it ends, heat will be demanded and denied in equal measure even as the city will be asked for very little today.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
01-17,"Know this: the city forgets itself thoroughly elsewhere the water chills, privately. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
01-17,"In the hours ahead, clarity will not be found in the depths today and still the boats shall cross nearly empty.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of NYC Ferry boardings: Very Low",poetic
01-18,"Be advised: heat makes demands without asking while the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-18,The walls shall cry out for warmth even as the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-19,"Today, the radiators are furious and somehow the streets are in suspiciously good condition. Or don't.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
01-19,"Heat will be demanded and denied in equal measure and still need shall rest, briefly, at a distance. Let this be known.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
01-20,Know this: the walls boil with something to say and somehow the city bites its tongue. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-20,The pipes shall speak of what is missing while the city will hold its breath.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-21,"The pipes have opinions and they will not be silenced meanwhile the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-21,Heat will be demanded and denied in equal measure even as the roads shall carry all things without complaint.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
01-22,"Be advised: the radiators are furious though the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-22,"On this day, heat will be demanded and denied in equal measure and yet the city will hold its breath. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-23,"On this day, something accumulates in corners without shame meanwhile the boats are mostly just floating. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
01-23,The city will wear its wounds openly while a rare quiet shall settle over the pavement. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-24,"Today, the law has a very full calendar at the same time the shelter system breathes easy, briefly. Take note.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
01-24,"On this day, the law will move swiftly and with purpose while the city will hold its breath.","• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
01-25,Something gathers without invitation and yet the boats are mostly just floating.,"• Number of unsanitary condition complaints to 311: High
• Number of NYC Ferry boardings: Very Low",irreverent
01-25,"In the hours ahead, neglect shall leave its signature even as the harbor will lie still and patient. So it shall be.","• Number of unsanitary condition complaints to 311: High
• Number of NYC Ferry boardings: Very Low",poetic
01-26,"Today, the law stirs with intent though teeth make no commitments today. You have been warned.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
01-26,"In the hours ahead, justice will have work to do even as the beasts of the city shall stay their hand. Heed it.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
01-27,Be advised: the radiators groan their usual complaints though the grime has retreated to consider its options.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
01-27,"When the time comes, the cold shall press inward and be answered yet what gathers in shadows shall remain there today. So it shall be.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
01-28,Mark it: the radiators groan their usual complaints elsewhere the grime has retreated to consider its options. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
01-28,Warmth will be sought across many thresholds yet what gathers in shadows shall remain there today. Heed it.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
01-29,The streets give up in several places at once elsewhere the harbor sees little traffic. Take note.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
01-29,"Before it ends, the roads will bear witness to their own exhaustion and still the harbor will lie still and patient.","• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
01-30,The streets give up in several places at once while teeth make no commitments today. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
01-30,The cold within will not be suffered in silence while no fang shall find purchase today.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
01-31,"On this day, justice is making appointments and yet an unusual quiet descends on the streets. Or don't.","• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
01-31,Heat will be demanded and denied in equal measure and yet a rare quiet shall settle over the pavement. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-01,Mark it: infrastructure voices its grievances loudly and somehow an unusual quiet descends on the streets. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-01,The law will move swiftly and with purpose while the city will hold its breath.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-02,Know this: the radiators groan their usual complaints though an unusual quiet descends on the streets. Plan around it.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-02,Warmth will be sought across many thresholds yet the streets shall offer silence as a gift. So it shall be.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-03,Mark it: the pipes speak up at the same time the ferries idle with dignity. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",irreverent
02-03,Warmth will be sought across many thresholds while the water will be asked to carry very little. So it shall be.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",poetic
02-04,Know this: the pipes speak up and yet the bureaucracy rests. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-04,"Warmth will be sought across many thresholds yet need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
