prophecy_index,mmdd,prophecy,data_notes
1,01-01,"The wandering will be few, and yet rot will be on its best behavior.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
2,01-01,"Decay will agree to stay hidden. And beyond that: the ground will offer safe passage, strangely.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
3,01-01,"The water will not be asked to carry much, even while the path will cooperate in ways that seem almost suspicious.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
4,01-02,"As the burning in the walls will find no relief, so too the streets will grow strange in their quiet.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
5,01-02,It will be a time when sound will withdraw so entirely as to become suspicious — and when fewer will wander without shelter.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
6,01-02,"Mark it well: fewer will wander without shelter, even as decay will be assertive.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: High
7,01-03,What comes: shelter will have found most of its seekers. What follows: the fire in the walls will refuse to be polite.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
8,01-03,The burning in the walls will find no relief; sound will withdraw so entirely as to become suspicious.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
9,01-03,The silence will arrive first and stay longest. And beyond that: the hidden multitude will be vast.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very High
10,01-04,"The signs agree: heat will make its case loudly and without remorse, and the walls will be inhabited more than expected.",Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
11,01-04,It will be a time when what moves unseen in the walls will have its season — and when the streets will grow strange in their quiet.,Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
12,01-04,"As the air will hold its breath for reasons it will not explain, so too what was ignored will no longer accept being ignored.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
13,01-05,"The signs agree: the seeking will be sparse, and something caged and burning will demand acknowledgment.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
14,01-05,First what was meant to warm will scorch instead; then a hush will settle where it is not welcome.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
15,01-05,"As sound will withdraw so entirely as to become suspicious, so too the water will not be asked to carry much.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
16,01-06,The wandering will be few; the fire in the walls will refuse to be polite.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
