source,mmdd,month,day,abundance,description
ferry_ridership,01-01,January,1,Very Low,Number of NYC Ferry boardings
311_noise_street,01-01,January,1,Medium,Number of street and sidewalk noise complaints to 311
arrests,01-01,January,1,Very Low,Number of NYPD arrests
dog_bites,01-01,January,1,High,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-01,January,1,High,Number of heat and hot water complaints to 311
311_dhs,01-01,January,1,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-01,January,1,Very Low,Number of street condition complaints to 311
311_unsanitary,01-01,January,1,Very Low,Number of unsanitary condition complaints to 311
dog_bites,01-02,January,2,High,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-02,January,2,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-02,January,2,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-02,January,2,Low,Number of NYC Ferry boardings
311_dhs,01-02,January,2,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-02,January,2,Low,Number of NYPD arrests
311_noise_street,01-02,January,2,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-02,January,2,Medium,Number of street condition complaints to 311
311_street_condition,01-03,January,3,Medium,Number of street condition complaints to 311
311_heat_hotwater,01-03,January,3,Very High,Number of heat and hot water complaints to 311
arrests,01-03,January,3,High,Number of NYPD arrests
dog_bites,01-03,January,3,Medium,Number of dog bite incidents reported to DOHMH
311_noise_street,01-03,January,3,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-03,January,3,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-03,January,3,Low,Number of NYC Ferry boardings
311_dhs,01-03,January,3,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-04,January,4,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-04,January,4,Medium,Number of street condition complaints to 311
311_noise_street,01-04,January,4,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-04,January,4,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-04,January,4,Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-04,January,4,Low,Number of NYC Ferry boardings
311_unsanitary,01-04,January,4,Very High,Number of unsanitary condition complaints to 311
arrests,01-04,January,4,Very High,Number of NYPD arrests
311_noise_street,01-05,January,5,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-05,January,5,Medium,Number of unsanitary condition complaints to 311
dog_bites,01-05,January,5,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-05,January,5,Low,Number of street condition complaints to 311
arrests,01-05,January,5,Medium,Number of NYPD arrests
ferry_ridership,01-05,January,5,Very Low,Number of NYC Ferry boardings
311_dhs,01-05,January,5,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-05,January,5,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-06,January,6,Low,Number of unsanitary condition complaints to 311
311_dhs,01-06,January,6,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-06,January,6,Very Low,Number of NYPD arrests
311_heat_hotwater,01-06,January,6,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-06,January,6,Very Low,Number of NYC Ferry boardings
311_noise_street,01-06,January,6,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-06,January,6,Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-06,January,6,Very Low,Number of street condition complaints to 311
311_unsanitary,01-07,January,7,Very Low,Number of unsanitary condition complaints to 311
311_dhs,01-07,January,7,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-07,January,7,Very Low,Number of street condition complaints to 311
arrests,01-07,January,7,Very Low,Number of NYPD arrests
ferry_ridership,01-07,January,7,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-07,January,7,Very High,Number of heat and hot water complaints to 311
311_noise_street,01-07,January,7,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-07,January,7,Very Low,Number of dog bite incidents reported to DOHMH
arrests,01-08,January,8,High,Number of NYPD arrests
311_dhs,01-08,January,8,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-08,January,8,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-08,January,8,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-08,January,8,Very Low,Number of NYC Ferry boardings
dog_bites,01-08,January,8,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-08,January,8,Low,Number of street condition complaints to 311
311_noise_street,01-08,January,8,Very Low,Number of street and sidewalk noise complaints to 311
arrests,01-09,January,9,Low,Number of NYPD arrests
311_heat_hotwater,01-09,January,9,High,Number of heat and hot water complaints to 311
311_dhs,01-09,January,9,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-09,January,9,Medium,Number of street condition complaints to 311
311_unsanitary,01-09,January,9,High,Number of unsanitary condition complaints to 311
dog_bites,01-09,January,9,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-09,January,9,Very Low,Number of NYC Ferry boardings
311_noise_street,01-09,January,9,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-10,January,10,Very High,Number of dog bite incidents reported to DOHMH
arrests,01-10,January,10,Very High,Number of NYPD arrests
311_unsanitary,01-10,January,10,Very High,Number of unsanitary condition complaints to 311
ferry_ridership,01-10,January,10,Very Low,Number of NYC Ferry boardings
311_noise_street,01-10,January,10,Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-10,January,10,High,Number of heat and hot water complaints to 311
311_dhs,01-10,January,10,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-10,January,10,High,Number of street condition complaints to 311
arrests,01-11,January,11,Very High,Number of NYPD arrests
dog_bites,01-11,January,11,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-11,January,11,Low,Number of street condition complaints to 311
ferry_ridership,01-11,January,11,Low,Number of NYC Ferry boardings
311_dhs,01-11,January,11,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-11,January,11,High,Number of heat and hot water complaints to 311
311_unsanitary,01-11,January,11,High,Number of unsanitary condition complaints to 311
311_noise_street,01-11,January,11,Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-12,January,12,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-12,January,12,Very Low,Number of NYC Ferry boardings
311_noise_street,01-12,January,12,Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-12,January,12,High,Number of heat and hot water complaints to 311
311_street_condition,01-12,January,12,Low,Number of street condition complaints to 311
311_dhs,01-12,January,12,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-12,January,12,High,Number of NYPD arrests
311_unsanitary,01-12,January,12,Medium,Number of unsanitary condition complaints to 311
ferry_ridership,01-13,January,13,Very Low,Number of NYC Ferry boardings
311_noise_street,01-13,January,13,Very Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-13,January,13,High,Number of heat and hot water complaints to 311
311_dhs,01-13,January,13,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,01-13,January,13,Very Low,Number of unsanitary condition complaints to 311
arrests,01-13,January,13,Low,Number of NYPD arrests
dog_bites,01-13,January,13,High,Number of dog bite incidents reported to DOHMH
311_street_condition,01-13,January,13,Very Low,Number of street condition complaints to 311
311_noise_street,01-14,January,14,Very Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,01-14,January,14,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-14,January,14,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-14,January,14,Very Low,Number of street condition complaints to 311
arrests,01-14,January,14,Very Low,Number of NYPD arrests
311_dhs,01-14,January,14,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-14,January,14,Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,01-14,January,14,Very Low,Number of unsanitary condition complaints to 311
311_unsanitary,01-15,January,15,Medium,Number of unsanitary condition complaints to 311
dog_bites,01-15,January,15,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-15,January,15,Very Low,Number of NYC Ferry boardings
311_dhs,01-15,January,15,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-15,January,15,Very High,Number of heat and hot water complaints to 311
arrests,01-15,January,15,Very Low,Number of NYPD arrests
311_street_condition,01-15,January,15,Very Low,Number of street condition complaints to 311
311_noise_street,01-15,January,15,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-16,January,16,Low,Number of street condition complaints to 311
311_unsanitary,01-16,January,16,Very High,Number of unsanitary condition complaints to 311
ferry_ridership,01-16,January,16,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-16,January,16,Very High,Number of heat and hot water complaints to 311
dog_bites,01-16,January,16,High,Number of dog bite incidents reported to DOHMH
arrests,01-16,January,16,Very Low,Number of NYPD arrests
311_noise_street,01-16,January,16,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-16,January,16,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-17,January,17,Medium,Number of street condition complaints to 311
311_heat_hotwater,01-17,January,17,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-17,January,17,Very Low,Number of NYC Ferry boardings
arrests,01-17,January,17,High,Number of NYPD arrests
311_dhs,01-17,January,17,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-17,January,17,Low,Number of dog bite incidents reported to DOHMH
watershed_wq_temperature,01-17,January,17,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
311_noise_street,01-17,January,17,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_turbidity,01-17,January,17,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_unsanitary,01-17,January,17,Very High,Number of unsanitary condition complaints to 311
arrests,01-18,January,18,Very High,Number of NYPD arrests
dog_bites,01-18,January,18,Very Low,Number of dog bite incidents reported to DOHMH
311_noise_street,01-18,January,18,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-18,January,18,Medium,Number of street condition complaints to 311
311_dhs,01-18,January,18,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-18,January,18,Very Low,Number of NYC Ferry boardings
311_unsanitary,01-18,January,18,Very High,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-18,January,18,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-19,January,19,Very Low,Number of street condition complaints to 311
arrests,01-19,January,19,Medium,Number of NYPD arrests
311_heat_hotwater,01-19,January,19,Very High,Number of heat and hot water complaints to 311
