date,mmdd,month,day,weekday,count,abundance,description
2024-01-01,01-01,January,1,Monday,162,Very Low,Number of unsanitary condition complaints to 311
2024-01-02,01-02,January,2,Tuesday,383,High,Number of unsanitary condition complaints to 311
2024-01-03,01-03,January,3,Wednesday,426,High,Number of unsanitary condition complaints to 311
2024-01-04,01-04,January,4,Thursday,458,Very High,Number of unsanitary condition complaints to 311
2024-01-05,01-05,January,5,Friday,367,Medium,Number of unsanitary condition complaints to 311
2024-01-06,01-06,January,6,Saturday,204,Low,Number of unsanitary condition complaints to 311
2024-01-07,01-07,January,7,Sunday,194,Very Low,Number of unsanitary condition complaints to 311
2024-01-08,01-08,January,8,Monday,419,High,Number of unsanitary condition complaints to 311
2024-01-09,01-09,January,9,Tuesday,420,High,Number of unsanitary condition complaints to 311
2024-01-10,01-10,January,10,Wednesday,493,Very High,Number of unsanitary condition complaints to 311
2024-01-11,01-11,January,11,Thursday,421,High,Number of unsanitary condition complaints to 311
2024-01-12,01-12,January,12,Friday,358,Medium,Number of unsanitary condition complaints to 311
2024-01-13,01-13,January,13,Saturday,194,Very Low,Number of unsanitary condition complaints to 311
2024-01-14,01-14,January,14,Sunday,165,Very Low,Number of unsanitary condition complaints to 311
2024-01-15,01-15,January,15,Monday,316,Medium,Number of unsanitary condition complaints to 311
2024-01-16,01-16,January,16,Tuesday,484,Very High,Number of unsanitary condition complaints to 311
2024-01-17,01-17,January,17,Wednesday,478,Very High,Number of unsanitary condition complaints to 311
2024-01-18,01-18,January,18,Thursday,464,Very High,Number of unsanitary condition complaints to 311
2024-01-19,01-19,January,19,Friday,368,Medium,Number of unsanitary condition complaints to 311
2024-01-20,01-20,January,20,Saturday,231,Low,Number of unsanitary condition complaints to 311
2024-01-21,01-21,January,21,Sunday,268,Low,Number of unsanitary condition complaints to 311
2024-01-22,01-22,January,22,Monday,462,Very High,Number of unsanitary condition complaints to 311
2024-01-23,01-23,January,23,Tuesday,441,Very High,Number of unsanitary condition complaints to 311
2024-01-24,01-24,January,24,Wednesday,363,Medium,Number of unsanitary condition complaints to 311
2024-01-25,01-25,January,25,Thursday,399,High,Number of unsanitary condition complaints to 311
2024-01-26,01-26,January,26,Friday,334,Medium,Number of unsanitary condition complaints to 311
2024-01-27,01-27,January,27,Saturday,178,Very Low,Number of unsanitary condition complaints to 311
2024-01-28,01-28,January,28,Sunday,194,Very Low,Number of unsanitary condition complaints to 311
2024-01-29,01-29,January,29,Monday,393,High,Number of unsanitary condition complaints to 311
2024-01-30,01-30,January,30,Tuesday,356,Medium,Number of unsanitary condition complaints to 311
2024-01-31,01-31,January,31,Wednesday,327,Medium,Number of unsanitary condition complaints to 311
2024-02-01,02-01,February,1,Thursday,382,High,Number of unsanitary condition complaints to 311
2024-02-02,02-02,February,2,Friday,302,Low,Number of unsanitary condition complaints to 311
2024-02-03,02-03,February,3,Saturday,187,Very Low,Number of unsanitary condition complaints to 311
2024-02-04,02-04,February,4,Sunday,181,Very Low,Number of unsanitary condition complaints to 311
2024-02-05,02-05,February,5,Monday,358,Medium,Number of unsanitary condition complaints to 311
2024-02-06,02-06,February,6,Tuesday,409,High,Number of unsanitary condition complaints to 311
2024-02-07,02-07,February,7,Wednesday,383,High,Number of unsanitary condition complaints to 311
2024-02-08,02-08,February,8,Thursday,303,Low,Number of unsanitary condition complaints to 311
2024-02-09,02-09,February,9,Friday,282,Low,Number of unsanitary condition complaints to 311
2024-02-10,02-10,February,10,Saturday,201,Very Low,Number of unsanitary condition complaints to 311
2024-02-11,02-11,February,11,Sunday,162,Very Low,Number of unsanitary condition complaints to 311
2024-02-12,02-12,February,12,Monday,401,High,Number of unsanitary condition complaints to 311
2024-02-13,02-13,February,13,Tuesday,312,Medium,Number of unsanitary condition complaints to 311
2024-02-14,02-14,February,14,Wednesday,266,Low,Number of unsanitary condition complaints to 311
2024-02-15,02-15,February,15,Thursday,345,Medium,Number of unsanitary condition complaints to 311
2024-02-16,02-16,February,16,Friday,318,Medium,Number of unsanitary condition complaints to 311
2024-02-17,02-17,February,17,Saturday,155,Very Low,Number of unsanitary condition complaints to 311
2024-02-18,02-18,February,18,Sunday,164,Very Low,Number of unsanitary condition complaints to 311
2024-02-19,02-19,February,19,Monday,235,Low,Number of unsanitary condition complaints to 311
2024-02-20,02-20,February,20,Tuesday,360,Medium,Number of unsanitary condition complaints to 311
2024-02-21,02-21,February,21,Wednesday,335,Medium,Number of unsanitary condition complaints to 311
2024-02-22,02-22,February,22,Thursday,339,Medium,Number of unsanitary condition complaints to 311
2024-02-23,02-23,February,23,Friday,352,Medium,Number of unsanitary condition complaints to 311
2024-02-24,02-24,February,24,Saturday,146,Very Low,Number of unsanitary condition complaints to 311
2024-02-25,02-25,February,25,Sunday,136,Very Low,Number of unsanitary condition complaints to 311
2024-02-26,02-26,February,26,Monday,376,High,Number of unsanitary condition complaints to 311
2024-02-27,02-27,February,27,Tuesday,419,High,Number of unsanitary condition complaints to 311
2024-02-28,02-28,February,28,Wednesday,393,High,Number of unsanitary condition complaints to 311
2024-02-29,02-29,February,29,Thursday,286,Low,Number of unsanitary condition complaints to 311
2024-03-01,03-01,March,1,Friday,288,Low,Number of unsanitary condition complaints to 311
2024-03-02,03-02,March,2,Saturday,158,Very Low,Number of unsanitary condition complaints to 311
2024-03-03,03-03,March,3,Sunday,153,Very Low,Number of unsanitary condition complaints to 311
2024-03-04,03-04,March,4,Monday,349,Medium,Number of unsanitary condition complaints to 311
2024-03-05,03-05,March,5,Tuesday,323,Medium,Number of unsanitary condition complaints to 311
2024-03-06,03-06,March,6,Wednesday,394,High,Number of unsanitary condition complaints to 311
2024-03-07,03-07,March,7,Thursday,336,Medium,Number of unsanitary condition complaints to 311
2024-03-08,03-08,March,8,Friday,288,Low,Number of unsanitary condition complaints to 311
2024-03-09,03-09,March,9,Saturday,207,Low,Number of unsanitary condition complaints to 311
2024-03-10,03-10,March,10,Sunday,180,Very Low,Number of unsanitary condition complaints to 311
2024-03-11,03-11,March,11,Monday,439,Very High,Number of unsanitary condition complaints to 311
2024-03-12,03-12,March,12,Tuesday,437,High,Number of unsanitary condition complaints to 311
2024-03-13,03-13,March,13,Wednesday,377,High,Number of unsanitary condition complaints to 311
2024-03-14,03-14,March,14,Thursday,329,Medium,Number of unsanitary condition complaints to 311
2024-03-15,03-15,March,15,Friday,235,Low,Number of unsanitary condition complaints to 311
