source,date,mmdd,month,day,weekday,value,abundance,description
311_dhs,2024-01-01,01-01,January,1,Monday,35,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-02,01-02,January,2,Tuesday,87,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-03,01-03,January,3,Wednesday,77,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-04,01-04,January,4,Thursday,87,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-05,01-05,January,5,Friday,69,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-06,01-06,January,6,Saturday,57,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-07,01-07,January,7,Sunday,46,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-08,01-08,January,8,Monday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-09,01-09,January,9,Tuesday,134,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-10,01-10,January,10,Wednesday,80,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-11,01-11,January,11,Thursday,70,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-12,01-12,January,12,Friday,87,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-13,01-13,January,13,Saturday,74,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-14,01-14,January,14,Sunday,55,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-15,01-15,January,15,Monday,68,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-16,01-16,January,16,Tuesday,70,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-17,01-17,January,17,Wednesday,90,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-18,01-18,January,18,Thursday,60,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-19,01-19,January,19,Friday,63,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-20,01-20,January,20,Saturday,68,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-21,01-21,January,21,Sunday,59,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-22,01-22,January,22,Monday,71,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-23,01-23,January,23,Tuesday,73,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-24,01-24,January,24,Wednesday,79,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-25,01-25,January,25,Thursday,101,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-26,01-26,January,26,Friday,105,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-27,01-27,January,27,Saturday,106,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-28,01-28,January,28,Sunday,62,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-29,01-29,January,29,Monday,81,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-30,01-30,January,30,Tuesday,70,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-01-31,01-31,January,31,Wednesday,72,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-01,02-01,February,1,Thursday,118,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-02,02-02,February,2,Friday,88,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-03,02-03,February,3,Saturday,48,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-04,02-04,February,4,Sunday,54,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-05,02-05,February,5,Monday,54,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-06,02-06,February,6,Tuesday,72,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-07,02-07,February,7,Wednesday,56,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-08,02-08,February,8,Thursday,88,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-09,02-09,February,9,Friday,101,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-10,02-10,February,10,Saturday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-11,02-11,February,11,Sunday,89,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-12,02-12,February,12,Monday,82,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-13,02-13,February,13,Tuesday,59,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-14,02-14,February,14,Wednesday,60,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-15,02-15,February,15,Thursday,57,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-16,02-16,February,16,Friday,54,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-17,02-17,February,17,Saturday,40,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-18,02-18,February,18,Sunday,33,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-19,02-19,February,19,Monday,40,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-20,02-20,February,20,Tuesday,63,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-21,02-21,February,21,Wednesday,63,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-22,02-22,February,22,Thursday,95,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-23,02-23,February,23,Friday,101,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-24,02-24,February,24,Saturday,64,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-25,02-25,February,25,Sunday,36,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-26,02-26,February,26,Monday,72,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-27,02-27,February,27,Tuesday,140,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-28,02-28,February,28,Wednesday,65,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-02-29,02-29,February,29,Thursday,59,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-01,03-01,March,1,Friday,82,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-02,03-02,March,2,Saturday,71,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-03,03-03,March,3,Sunday,89,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-04,03-04,March,4,Monday,119,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-05,03-05,March,5,Tuesday,97,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-06,03-06,March,6,Wednesday,111,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-07,03-07,March,7,Thursday,114,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-08,03-08,March,8,Friday,91,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-09,03-09,March,9,Saturday,71,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-10,03-10,March,10,Sunday,44,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-11,03-11,March,11,Monday,82,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-12,03-12,March,12,Tuesday,119,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-13,03-13,March,13,Wednesday,112,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-14,03-14,March,14,Thursday,113,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-15,03-15,March,15,Friday,126,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-16,03-16,March,16,Saturday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-17,03-17,March,17,Sunday,85,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-18,03-18,March,18,Monday,84,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-19,03-19,March,19,Tuesday,91,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-20,03-20,March,20,Wednesday,112,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-21,03-21,March,21,Thursday,45,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-22,03-22,March,22,Friday,78,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-23,03-23,March,23,Saturday,59,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-24,03-24,March,24,Sunday,51,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-25,03-25,March,25,Monday,58,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-26,03-26,March,26,Tuesday,91,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-27,03-27,March,27,Wednesday,111,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-28,03-28,March,28,Thursday,110,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-29,03-29,March,29,Friday,85,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-30,03-30,March,30,Saturday,77,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-03-31,03-31,March,31,Sunday,84,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-01,04-01,April,1,Monday,139,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-02,04-02,April,2,Tuesday,117,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-03,04-03,April,3,Wednesday,105,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-04,04-04,April,4,Thursday,90,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-05,04-05,April,5,Friday,94,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-06,04-06,April,6,Saturday,105,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-07,04-07,April,7,Sunday,86,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-08,04-08,April,8,Monday,123,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-09,04-09,April,9,Tuesday,148,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-10,04-10,April,10,Wednesday,179,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-11,04-11,April,11,Thursday,150,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-12,04-12,April,12,Friday,135,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-13,04-13,April,13,Saturday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-14,04-14,April,14,Sunday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-15,04-15,April,15,Monday,181,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-16,04-16,April,16,Tuesday,222,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-17,04-17,April,17,Wednesday,179,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-18,04-18,April,18,Thursday,119,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-19,04-19,April,19,Friday,144,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-20,04-20,April,20,Saturday,123,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-21,04-21,April,21,Sunday,118,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-22,04-22,April,22,Monday,136,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-23,04-23,April,23,Tuesday,141,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-24,04-24,April,24,Wednesday,147,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-25,04-25,April,25,Thursday,146,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-26,04-26,April,26,Friday,144,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-27,04-27,April,27,Saturday,107,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-28,04-28,April,28,Sunday,120,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-29,04-29,April,29,Monday,197,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-04-30,04-30,April,30,Tuesday,187,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-01,05-01,May,1,Wednesday,154,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-02,05-02,May,2,Thursday,164,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-03,05-03,May,3,Friday,163,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-04,05-04,May,4,Saturday,122,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-05,05-05,May,5,Sunday,93,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-06,05-06,May,6,Monday,157,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-07,05-07,May,7,Tuesday,164,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-08,05-08,May,8,Wednesday,172,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-09,05-09,May,9,Thursday,187,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-10,05-10,May,10,Friday,140,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-11,05-11,May,11,Saturday,162,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-12,05-12,May,12,Sunday,128,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-13,05-13,May,13,Monday,157,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-14,05-14,May,14,Tuesday,194,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-15,05-15,May,15,Wednesday,139,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-16,05-16,May,16,Thursday,144,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-17,05-17,May,17,Friday,126,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-18,05-18,May,18,Saturday,135,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-19,05-19,May,19,Sunday,125,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-20,05-20,May,20,Monday,190,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-21,05-21,May,21,Tuesday,186,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-22,05-22,May,22,Wednesday,183,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-23,05-23,May,23,Thursday,164,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-24,05-24,May,24,Friday,166,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-25,05-25,May,25,Saturday,146,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-26,05-26,May,26,Sunday,122,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-27,05-27,May,27,Monday,121,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
