date,mmdd,month,day,weekday,count,abundance
2024-01-01,01-01,January,1,Monday,0,Very Low
2024-01-02,01-02,January,2,Tuesday,782,Medium
2024-01-03,01-03,January,3,Wednesday,1033,Very High
2024-01-04,01-04,January,4,Thursday,1152,Very High
2024-01-05,01-05,January,5,Friday,1181,Very High
2024-01-06,01-06,January,6,Saturday,0,Very Low
2024-01-07,01-07,January,7,Sunday,1,Very Low
2024-01-08,01-08,January,8,Monday,1107,Very High
2024-01-09,01-09,January,9,Tuesday,954,High
2024-01-10,01-10,January,10,Wednesday,1072,Very High
2024-01-11,01-11,January,11,Thursday,980,High
2024-01-12,01-12,January,12,Friday,938,High
2024-01-13,01-13,January,13,Saturday,35,Very Low
2024-01-14,01-14,January,14,Sunday,56,Very Low
2024-01-15,01-15,January,15,Monday,17,Very Low
2024-01-16,01-16,January,16,Tuesday,169,Low
2024-01-17,01-17,January,17,Wednesday,820,Medium
2024-01-18,01-18,January,18,Thursday,899,High
2024-01-19,01-19,January,19,Friday,572,Low
2024-01-20,01-20,January,20,Saturday,66,Very Low
2024-01-21,01-21,January,21,Sunday,23,Very Low
2024-01-22,01-22,January,22,Monday,678,Low
2024-01-23,01-23,January,23,Tuesday,733,Medium
2024-01-24,01-24,January,24,Wednesday,710,Medium
2024-01-25,01-25,January,25,Thursday,725,Medium
2024-01-26,01-26,January,26,Friday,758,Medium
2024-01-27,01-27,January,27,Saturday,55,Very Low
2024-01-28,01-28,January,28,Sunday,16,Very Low
2024-01-29,01-29,January,29,Monday,749,Medium
2024-01-30,01-30,January,30,Tuesday,794,Medium
2024-01-31,01-31,January,31,Wednesday,539,Low
2024-02-01,02-01,February,1,Thursday,861,Medium
2024-02-02,02-02,February,2,Friday,939,High
2024-02-03,02-03,February,3,Saturday,51,Very Low
2024-02-04,02-04,February,4,Sunday,55,Very Low
2024-02-05,02-05,February,5,Monday,962,High
2024-02-06,02-06,February,6,Tuesday,996,High
2024-02-07,02-07,February,7,Wednesday,1110,Very High
2024-02-08,02-08,February,8,Thursday,1019,Very High
2024-02-09,02-09,February,9,Friday,923,High
2024-02-10,02-10,February,10,Saturday,31,Very Low
2024-02-11,02-11,February,11,Sunday,24,Very Low
2024-02-12,02-12,February,12,Monday,899,High
2024-02-13,02-13,February,13,Tuesday,16,Very Low
2024-02-14,02-14,February,14,Wednesday,943,High
2024-02-15,02-15,February,15,Thursday,905,High
2024-02-16,02-16,February,16,Friday,1131,Very High
2024-02-17,02-17,February,17,Saturday,3,Very Low
2024-02-18,02-18,February,18,Sunday,12,Very Low
2024-02-19,02-19,February,19,Monday,8,Very Low
2024-02-20,02-20,February,20,Tuesday,970,High
2024-02-21,02-21,February,21,Wednesday,943,High
2024-02-22,02-22,February,22,Thursday,687,Medium
2024-02-23,02-23,February,23,Friday,1117,Very High
2024-02-24,02-24,February,24,Saturday,41,Very Low
2024-02-25,02-25,February,25,Sunday,28,Very Low
2024-02-26,02-26,February,26,Monday,821,Medium
2024-02-27,02-27,February,27,Tuesday,871,Medium
2024-02-28,02-28,February,28,Wednesday,911,High
2024-02-29,02-29,February,29,Thursday,898,High
2024-03-01,03-01,March,1,Friday,1188,Very High
2024-03-02,03-02,March,2,Saturday,35,Very Low
2024-03-03,03-03,March,3,Sunday,249,Low
2024-03-04,03-04,March,4,Monday,968,High
2024-03-05,03-05,March,5,Tuesday,971,High
2024-03-06,03-06,March,6,Wednesday,1121,Very High
2024-03-07,03-07,March,7,Thursday,987,High
2024-03-08,03-08,March,8,Friday,1219,Very High
2024-03-09,03-09,March,9,Saturday,168,Low
2024-03-10,03-10,March,10,Sunday,161,Low
